genome_id	clade
ESC_FB5846AA_AS	A
ESC_SC2148AA_AS	A
ESC_HC0921AA_AS	A
ESC_IC5831AA_AS	A
ESC_OC8820AA_AS	A
ESC_CC8759AA_AS	A
ESC_HC1922AA_AS	A
ESC_EC4736AA_AS	A
ESC_MB8889AA_AS	A
ESC_VB2175AA_AS	A
ESC_BC7200AA_AS	A
ESC_HC1864AA_AS	A
ESC_CB3867AA_AS	A
ESC_CB3947AA_AS	A
ESC_HC1457AA_AS	A
ESC_LB1193AA_AS	A
ESC_ZA2640AA_AS	A
ESC_GC1713AA_AS	A
ESC_XA4769AA_AS	A
ESC_FB5560AA_AS	A
ESC_HC1151AA_AS	A
ESC_OC0356AA_AS	A
ESC_OC0386AA_AS	A
ESC_GC1781AA_AS	A
ESC_BC7035AA_AS	A
ESC_BC7627AA_AS	A
ESC_WB6812AA_AS	A
ESC_HC1464AA_AS	A
ESC_MA3696AA_AS	A
ESC_AC1490AA_AS	A
ESC_GC1450AA_AS	A
ESC_JC8917AA_AS	A
ESC_JC8832AA_AS	A
ESC_KC1036AA_AS	A
ESC_UB4126AA_AS	A
ESC_UB2470AA_AS	A
ESC_RC9689AA_AS	A
ESC_VB7714AA_AS	A
ESC_DC0699AA_AS	A
ESC_IB6500AA_AS	A
ESC_AC4196AA_AS	A
ESC_HC7299AA_AS	A
ESC_KC5280AA_AS	A
ESC_KC5283AA_AS	A
ESC_PB2475AA_AS	A
ESC_ZB6969AA_AS	A
ESC_ZB8812AA_AS	A
ESC_CC8123AA_AS	A
ESC_TA2933AA_AS	A
ESC_IB6226AA_AS	A
ESC_MB3664AA_AS	A
ESC_HC1921AA_AS	A
ESC_UA5992AA_AS	A
ESC_CC8730AA_AS	A
ESC_CC8788AA_AS	A
ESC_CB3979AA_AS	A
ESC_MB3343AA_AS	A
ESC_MC0928AA_AS	A
ESC_WB8113AA_AS	A
ESC_KC2717AA_AS	A
ESC_RA1911AA_AS	A
ESC_GC1562AA_AS	A
ESC_JC5864AA_AS	A
ESC_IA8066AA_AS	A
ESC_MC8402AA_AS	A
ESC_MA3740AA_AS	A
ESC_MC0931AA_AS	A
ESC_MC4523AA_AS	A
ESC_MC4519AA_AS	A
ESC_MC4521AA_AS	A
ESC_BA1845AA_AS	B
ESC_NB7740AA_AS	B
ESC_CA4072AA_AS	B
ESC_DC1902AA_AS	B
ESC_MA9873AA_AS	B
ESC_EC6764AA_AS	B
ESC_ZA0994AA_AS	B
ESC_EC6774AA_AS	B
ESC_EC6745AA_AS	B
ESC_EC6811AA_AS	B
ESC_GC1657AA_AS	B
ESC_WB0207AA_AS	B
ESC_NA2671AA_AS	B
ESC_WA5790AA_AS	B
ESC_MC7959AA_AS	B
ESC_AA9102AA_AS	B
ESC_EC5606AA_AS	B
ESC_SC5134AA_AS	B
ESC_SC5161AA_AS	B
ESC_XB7033AA_AS	B
ESC_FB1651AA_AS	B
ESC_MB1912AA_AS	B
ESC_JC7029AA_AS	B
ESC_JC7066AA_AS	B
ESC_EC4744AA_AS	B
ESC_EC4723AA_AS	B
ESC_EC4728AA_AS	B
ESC_EC4772AA_AS	B
ESC_EC4775AA_AS	B
ESC_EC4770AA_AS	B
ESC_EC4771AA_AS	B
ESC_FB1428AA_AS	B
ESC_IC6485AA_AS	B
ESC_FB1309AA_AS	B
ESC_FB1313AA_AS	B
ESC_OC4413AA_AS	B
ESC_TA2862AA_AS	B
ESC_GC0198AA_AS	B
ESC_KC0917AA_AS	B
ESC_WB7541AA_AS	B
ESC_IC6498AA_AS	B
ESC_MB1947AA_AS	B
ESC_EB5403AA_AS	B
ESC_RA4507AA_AS	B
ESC_EB0821AA_AS	B
ESC_IC5449AA_AS	B
ESC_VA2359AA_AS	B
ESC_DC2044AA_AS	B
ESC_XB7032AA_AS	B
ESC_MC8366AA_AS	B
ESC_EB0842AA_AS	B
ESC_IB6124AA_AS	B
ESC_OC4372AA_AS	B
ESC_PC5931AA_AS	B
ESC_MB1944AA_AS	B
ESC_YB1694AA_AS	B
ESC_MB1963AA_AS	B
ESC_GC1959AA_AS	B
ESC_GC1963AA_AS	B
ESC_MB1927AA_AS	B
ESC_WB8091AA_AS	B
ESC_KA9864AA_AS	B
ESC_BC5190AA_AS	B
ESC_RB8746AA_AS	B
