ST	n_strain	n_phylo	phylogroup	phylogroup_all	phylogroup_all_n
1	5	1	D	D	5
2	5	1	D	D	5
3	5	1	B1	B1	5
4	100	1	A	A	100
5	1	1	B1	B1	1
6	82	2	A	A;Unknown	81;1
7	5	1	B1	B1	5
9	1	1	B1	B1	1
10	105	1	A	A	105
11	105	2	E	E;D	104;1
12	103	1	B2	B2	103
13	5	1	B1	B1	5
14	5	1	B2	B2	5
15	5	1	B2	B2	5
16	105	1	B1	B1	105
17	103	1	B1	B1	103
19	5	1	B2	B2	5
20	5	1	B1	B1	5
21	104	1	B1	B1	104
23	105	2	C	C;Unknown	104;1
25	99	1	B1	B1	99
26	5	1	B1	B1	5
28	5	1	B2	B2	5
29	103	1	B1	B1	103
30	1	1	D	D	1
31	5	1	D	D	5
32	104	1	D	D	104
33	101	1	B1	B1	101
34	103	1	A	A	103
35	5	1	B2	B2	5
38	105	1	D	D	105
39	1	1	B1	B1	1
40	5	1	B1	B1	5
42	5	1	D	D	5
43	5	1	A	A	5
44	5	1	A	A	5
45	1	1	A	A	1
46	100	1	A	A	100
47	1	1	A	A	1
48	104	3	A	A;E or cladeI;Unknown	102;1;1
49	1	1	A	A	1
50	1	1	A	A	1
52	5	1	A	A	5
53	5	1	B1	B1	5
54	5	1	B1	B1	5
55	1	1	B1	B1	1
56	5	1	B1	B1	5
57	5	1	E	E	5
58	105	1	B1	B1	105
59	103	3	F	F;Unknown;B2	100;2;1
61	1	1	E	E	1
62	5	1	F	F	5
63	1	1	A	A	1
64	1	1	E	E	1
67	5	1	B1	B1	5
68	5	1	D	D	5
69	104	1	D	D	104
70	3	1	D	D	3
72	1	1	D	D	1
73	105	1	B2	B2	105
74	1	1	B2	B2	1
75	5	1	B1	B1	5
77	1	1	A	A	1
79	5	1	B2	B2	5
80	5	1	B2	B2	5
83	5	1	B2	B2	5
84	1	1	B1	B1	1
85	5	1	B1	B1	5
86	5	1	B1	B1	5
88	105	2	C	C;E	104;1
89	1	1	B1	B1	1
90	5	1	C	C	5
91	5	1	B2	B2	5
93	104	1	A	A	104
94	5	1	B1	B1	5
95	104	1	B2	B2	104
96	5	1	A	A	5
99	5	1	B1	B1	5
100	5	1	A	A	5
101	105	1	B1	B1	105
104	5	1	B2	B2	5
105	1	1	B2	B2	1
106	5	1	D	D	5
108	5	1	D	D	5
109	5	1	B1	B1	5
110	1	1	B2	B2	1
111	5	1	B1	B1	5
113	1	1	B1	B1	1
115	5	1	D	D	5
117	104	1	F	F	104
118	5	1	E	E	5
119	5	1	A	A	5
120	5	2	B1	B1;A	3;2
121	5	1	B2	B2	5
122	5	1	B2	B2	5
123	1	1	B2	B2	1
124	5	1	B1	B1	5
125	1	1	cladeV	cladeV	1
126	5	1	B2	B2	5
127	104	1	B2	B2	104
129	5	1	B1	B1	5
130	5	1	E	E	5
131	105	1	B2	B2	105
132	5	1	D	D	5
133	5	1	cladeV	cladeV	5
134	1	1	B2	B2	1
135	5	1	B2	B2	5
136	5	1	B2	B2	5
137	5	1	D	D	5
139	1	1	D	D	1
140	5	1	B2	B2	5
141	105	1	B2	B2	105
144	5	1	B2	B2	5
145	105	2	A	A;Unknown	103;2
146	1	1	E	E	1
147	5	2	A	A;Unknown	4;1
148	101	1	A	A	101
149	5	1	A	A	5
152	5	1	Unknown	Unknown	5
154	103	1	B1	B1	103
155	104	1	B1	B1	104
156	100	1	B1	B1	100
159	5	1	A	A	5
160	1	1	B1	B1	1
161	1	1	A	A	1
162	103	1	B1	B1	103
164	5	1	B1	B1	5
165	5	1	A	A	5
167	104	1	A	A	104
168	1	1	A	A	1
170	5	1	A	A	5
172	1	1	B1	B1	1
173	5	1	B1	B1	5
174	5	1	B2	B2	5
175	1	1	A	A	1
176	5	1	A	A	5
180	1	1	B1	B1	1
181	5	1	A	A	5
182	5	1	E	E	5
187	5	1	B1	B1	5
188	1	1	B1	B1	1
189	5	2	A	A;D	3;2
191	5	1	A	A	5
192	5	1	B1	B1	5
193	5	1	A	A	5
195	5	1	A	A	5
196	5	1	B1	B1	5
197	1	1	A	A	1
200	5	1	B1	B1	5
201	5	1	B1	B1	5
202	5	1	A	A	5
205	5	1	B1	B1	5
206	104	1	A	A	104
207	1	1	A	A	1
208	1	1	A	A	1
209	5	1	A	A	5
210	5	1	B1	B1	5
211	1	1	B1	B1	1
212	5	1	B1	B1	5
215	5	1	A	A	5
216	5	1	A	A	5
218	5	1	A	A	5
219	5	1	E	E	5
223	95	1	B1	B1	95
224	103	1	B1	B1	103
226	5	1	A	A	5
227	5	1	A	A	5
243	102	1	A	A	102
245	105	2	A	A;B1	104;1
250	5	1	A	A	5
252	5	2	A	A;Unknown	3;2
253	1	1	A	A	1
257	1	1	A	A	1
258	1	1	A	A	1
260	5	1	E	E	5
261	1	1	A	A	1
270	5	2	B1	B1;A	3;2
273	5	1	A	A	5
278	100	1	B1	B1	100
279	1	1	D	D	1
280	5	1	D	D	5
281	5	1	A	A	5
288	5	1	A	A	5
289	1	1	B1	B1	1
290	1	1	D	D	1
294	5	1	B1	B1	5
295	101	1	B1	B1	101
296	1	1	B1	B1	1
297	104	2	B1	B1;D	99;5
298	1	1	B1	B1	1
300	101	1	B1	B1	101
301	84	1	A	A	84
302	5	1	E or cladeI	E or cladeI	5
306	101	1	B1	B1	101
311	5	1	B1	B1	5
314	1	1	B1	B1	1
315	5	1	D	D	5
316	5	1	B1	B1	5
317	1	1	B1	B1	1
321	1	1	B2	B2	1
325	5	1	A	A	5
327	5	1	B1	B1	5
328	5	1	B1	B1	5
329	5	1	A	A	5
330	5	1	A	A	5
332	5	1	B1	B1	5
333	1	1	B1	B1	1
335	101	1	E	E	101
336	5	1	B1	B1	5
337	5	1	B1	B1	5
342	101	1	A	A	101
343	5	1	B1	B1	5
345	5	1	B1	B1	5
347	1	1	A	A	1
348	5	1	B1	B1	5
349	101	1	D	D	101
350	5	1	E	E	5
351	5	1	B1	B1	5
352	5	1	B2	B2	5
354	105	2	F	F;Unknown	104;1
355	5	1	B2	B2	5
357	5	1	B2	B2	5
359	5	1	B1	B1	5
360	1	1	C	C	1
361	5	1	A	A	5
362	5	1	D	D	5
363	5	1	B2	B2	5
366	5	1	B1	B1	5
367	5	1	C	C	5
369	5	1	C	C	5
371	5	1	E	E	5
372	102	1	B2	B2	102
373	5	1	A	A	5
376	5	1	B1	B1	5
378	5	1	A	A	5
379	1	1	F	F	1
381	5	1	B1	B1	5
382	5	1	A	A	5
383	1	1	albertii	albertii	1
384	1	1	B1	B1	1
386	5	1	B1	B1	5
388	5	1	B1	B1	5
390	5	1	B2	B2	5
391	1	1	D	D	1
392	5	1	B1	B1	5
393	102	1	D	D	102
394	5	1	D	D	5
396	5	1	B1	B1	5
398	99	1	A	A	99
399	85	2	A	A;Unknown	84;1
401	5	1	A	A	5
404	5	1	B2	B2	5
405	102	1	D	D	102
409	5	1	A	A	5
410	104	3	C	C;E or cladeI;Unknown	102;1;1
413	5	1	albertii	albertii	5
414	5	1	D	D	5
415	1	1	F	F	1
416	5	1	B2	B2	5
420	5	1	B2	B2	5
421	5	1	B2	B2	5
423	5	1	C	C	5
424	5	1	B1	B1	5
426	1	1	D	D	1
428	5	1	B2	B2	5
429	5	1	B2	B2	5
436	1	1	A	A	1
437	1	1	B1	B1	1
441	5	1	B1	B1	5
442	104	1	B1	B1	104
443	104	2	B1	B1;A	103;1
446	5	1	B1	B1	5
447	5	1	B1	B1	5
448	100	1	B1	B1	100
449	5	1	D	D	5
450	5	1	A	A	5
452	5	1	B2	B2	5
453	101	1	B1	B1	101
454	5	1	F	F	5
457	101	2	F	F;Unknown	99;2
459	1	1	F	F	1
468	1	1	B1	B1	1
469	5	1	B1	B1	5
471	1	1	D	D	1
472	5	1	A	A	5
477	1	1	A	A	1
479	1	1	B1	B1	1
480	5	1	A	A	5
484	5	1	A	A	5
485	5	1	cladeI	cladeI	5
491	5	1	B2	B2	5
495	1	1	A	A	1
500	5	1	B1	B1	5
501	5	1	D	D	5
504	5	1	B2	B2	5
507	1	1	D	D	1
511	1	1	C	C	1
512	1	1	D	D	1
515	5	1	B1	B1	5
517	5	1	B1	B1	5
522	5	1	A	A	5
526	1	1	B2	B2	1
527	1	1	B1	B1	1
533	5	1	B1	B1	5
536	5	1	A	A	5
537	5	1	B2	B2	5
538	5	1	B2	B2	5
539	5	1	B1	B1	5
540	5	1	A	A	5
541	5	1	A	A	5
542	5	1	A	A	5
543	5	1	E	E	5
544	1	1	B2	B2	1
546	1	1	cladeV	cladeV	1
547	5	1	B2	B2	5
548	5	1	A	A	5
549	5	1	D	D	5
550	5	1	B2	B2	5
555	5	1	B2	B2	5
567	5	1	B2	B2	5
569	5	1	B2	B2	5
582	5	1	B2	B2	5
583	100	1	B2	B2	100
584	1	1	B2	B2	1
587	1	1	E	E	1
589	5	1	B2	B2	5
590	5	1	B1	B1	5
594	1	1	B1	B1	1
597	1	1	D	D	1
598	1	1	D	D	1
599	1	1	B2	B2	1
602	100	1	B1	B1	100
603	5	1	B1	B1	5
607	5	1	A	A	5
609	4	1	A	A	4
616	5	1	B1	B1	5
617	103	2	A	A;E or cladeI	102;1
618	5	1	F	F	5
624	5	1	F	F	5
625	5	1	B2	B2	5
628	100	1	A	A	100
630	99	1	A	A	99
631	5	1	A	A	5
632	1	1	A	A	1
633	1	1	A	A	1
635	5	1	A	A	5
636	5	1	B2	B2	5
640	5	1	B2	B2	5
641	104	2	B1	B1;Unknown	103;1
642	5	1	B1	B1	5
643	1	1	B2	B2	1
645	1	1	Unknown	Unknown	1
646	5	1	B2	B2	5
647	5	1	B2	B2	5
648	104	1	F	F	104
652	5	1	C	C	5
654	1	1	B1	B1	1
655	105	1	B1	B1	105
656	5	1	A	A	5
657	5	1	F	F	5
658	5	1	B2	B2	5
659	5	1	A	A	5
660	5	1	A	A	5
661	5	1	B1	B1	5
662	5	1	cladeI	cladeI	5
663	1	1	D	D	1
665	4	1	A	A	4
666	5	1	B1	B1	5
667	1	1	B1	B1	1
672	5	1	B1	B1	5
675	102	1	B1	B1	102
676	5	1	B2	B2	5
677	5	1	B1	B1	5
678	102	1	B1	B1	102
679	5	1	B1	B1	5
680	1	1	B2	B2	1
681	5	1	B2	B2	5
683	5	1	B1	B1	5
684	1	1	A	A	1
685	5	1	A	A	5
688	5	1	B1	B1	5
690	1	1	B1	B1	1
691	5	1	E	E	5
692	5	1	B1	B1	5
694	5	1	A	A	5
695	5	1	A	A	5
696	1	1	B1	B1	1
697	5	1	A	A	5
701	1	1	D	D	1
703	1	1	B2	B2	1
706	5	1	B2	B2	5
708	5	1	B1	B1	5
710	5	1	A	A	5
711	5	1	B1	B1	5
713	1	1	B2	B2	1
714	5	1	D	D	5
716	5	1	A	A	5
717	5	2	E or cladeI	E or cladeI;E	4;1
718	5	1	B1	B1	5
720	5	2	D	D;E	3;2
722	5	1	B2	B2	5
723	102	1	B1	B1	102
724	5	1	E	E	5
725	5	1	B2	B2	5
730	5	1	A	A	5
731	5	1	A	A	5
737	5	1	B1	B1	5
738	5	1	F	F	5
742	1	1	albertii	albertii	1
744	103	1	A	A	103
745	1	1	B1	B1	1
746	103	1	A	A	103
747	5	1	cladeI	cladeI	5
750	5	1	A	A	5
752	5	1	A	A	5
753	5	1	E	E	5
755	1	1	B1	B1	1
756	1	1	A	A	1
757	5	1	A	A	5
758	1	1	A	A	1
761	5	1	A	A	5
762	1	1	A	A	1
763	5	1	B1	B1	5
764	1	1	A	A	1
765	5	1	B1	B1	5
767	5	1	B1	B1	5
770	5	1	cladeI	cladeI	5
772	1	1	A	A	1
773	5	1	A	A	5
778	1	1	B1	B1	1
783	5	1	C	C	5
788	5	1	B2	B2	5
789	1	1	A	A	1
793	5	1	A	A	5
794	1	1	B1	B1	1
795	5	1	B1	B1	5
800	1	1	B1	B1	1
803	5	1	B2	B2	5
811	5	1	B1	B1	5
827	5	1	B2	B2	5
829	5	1	B1	B1	5
841	5	1	B1	B1	5
844	1	1	F	F	1
846	5	1	E	E	5
847	5	1	B1	B1	5
867	1	1	A	A	1
868	1	1	A	A	1
871	5	1	A	A	5
873	1	1	A	A	1
877	5	1	B1	B1	5
880	1	1	A	A	1
898	5	1	A	A	5
906	102	1	B1	B1	102
910	1	1	B1	B1	1
919	5	1	B2	B2	5
925	5	1	D	D	5
929	5	1	B2	B2	5
937	5	1	B1	B1	5
938	1	1	D	D	1
939	5	1	A	A	5
940	5	1	B1	B1	5
941	1	1	B2	B2	1
942	5	1	B1	B1	5
947	5	1	B1	B1	5
949	5	1	B1	B1	5
950	1	1	E	E	1
953	1	1	A	A	1
955	5	1	D	D	5
961	5	1	B2	B2	5
963	5	1	D	D	5
964	1	1	D	D	1
967	5	1	F	F	5
968	5	1	B2	B2	5
969	5	1	B2	B2	5
971	5	1	B1	B1	5
973	5	1	D	D	5
974	1	1	C	C	1
975	1	1	A	A	1
976	1	1	A	A	1
977	5	1	B1	B1	5
978	5	1	B2	B2	5
991	1	1	D	D	1
993	5	1	A	A	5
997	1	1	E	E	1
998	5	1	B2	B2	5
999	5	1	B2	B2	5
1001	5	1	B1	B1	5
1007	1	1	B1	B1	1
1011	5	1	D	D	5
1020	1	1	B1	B1	1
1021	1	1	A	A	1
1022	5	1	A	A	5
1024	5	1	A	A	5
1025	104	1	A	A	104
1029	1	1	A	A	1
1031	1	1	B2	B2	1
1032	1	1	B1	B1	1
1034	1	1	A	A	1
1040	5	1	B2	B2	5
1041	5	1	B2	B2	5
1049	5	1	B1	B1	5
1056	5	1	B1	B1	5
1057	5	1	B2	B2	5
1060	103	1	A	A	103
1064	1	1	B2	B2	1
1068	1	1	B1	B1	1
1071	1	1	B1	B1	1
1072	5	1	A	A	5
1079	100	1	B1	B1	100
1080	5	1	A	A	5
1081	5	1	B1	B1	5
1084	1	1	B1	B1	1
1086	5	1	B1	B1	5
1087	1	1	E	E	1
1091	5	1	A	A	5
1092	1	1	B2	B2	1
1101	5	1	A	A	5
1106	1	1	B1	B1	1
1109	1	1	A	A	1
1112	5	1	A	A	5
1114	5	1	A	A	5
1115	1	1	A	A	1
1121	5	1	A	A	5
1122	5	1	A	A	5
1123	5	1	B1	B1	5
1125	5	1	B1	B1	5
1126	1	1	B1	B1	1
1128	5	1	B1	B1	5
1131	5	1	E	E	5
1132	1	1	B1	B1	1
1136	5	1	B1	B1	5
1137	1	1	A	A	1
1139	5	1	A	A	5
1140	5	1	E	E	5
1141	5	1	A	A	5
1144	1	1	A	A	1
1145	1	1	A	A	1
1146	5	1	B1	B1	5
1147	5	1	B1	B1	5
1148	5	1	B1	B1	5
1151	1	1	B1	B1	1
1152	1	1	E	E	1
1154	1	1	B2	B2	1
1155	5	1	B2	B2	5
1157	1	1	B1	B1	1
1158	5	1	E	E	5
1159	5	1	B2	B2	5
1161	5	1	B2	B2	5
1162	1	1	B2	B2	1
1163	5	1	F	F	5
1167	5	1	B1	B1	5
1170	5	1	B2	B2	5
1172	5	1	B1	B1	5
1176	1	1	D	D	1
1177	5	1	D	D	5
1178	5	1	A	A	5
1193	102	1	B2	B2	102
1196	100	1	B1	B1	100
1199	1	1	albertii	albertii	1
1201	5	1	A	A	5
1202	5	1	A	A	5
1204	3	1	D	D	3
1205	5	1	B1	B1	5
1219	1	1	B1	B1	1
1228	1	1	D	D	1
1231	5	1	B2	B2	5
1236	5	1	B2	B2	5
1237	1	1	A	A	1
1244	5	1	A	A	5
1245	5	1	E	E	5
1246	5	1	B1	B1	5
1248	5	1	B1	B1	5
1249	5	2	B1	B1;A	4;1
1250	5	1	B1	B1	5
1251	1	1	A	A	1
1252	5	1	B1	B1	5
1255	1	1	B2	B2	1
1257	1	1	B2	B2	1
1258	1	1	B1	B1	1
1260	1	1	A	A	1
1262	5	1	B2	B2	5
1265	1	1	E	E	1
1266	5	1	E	E	5
1273	1	1	A	A	1
1276	5	1	F	F	5
1277	1	1	A	A	1
1278	5	1	B2	B2	5
1279	1	1	C	C	1
1280	1	1	F	F	1
1283	5	1	B2	B2	5
1284	5	1	A	A	5
1285	1	1	B1	B1	1
1286	5	1	A	A	5
1288	5	1	A	A	5
1290	5	1	A	A	5
1291	1	1	A	A	1
1293	1	1	B1	B1	1
1294	5	1	A	A	5
1295	1	1	B1	B1	1
1297	5	1	B1	B1	5
1298	5	1	B1	B1	5
1300	1	1	E	E	1
1301	1	1	E	E	1
1302	5	1	A	A	5
1303	5	1	A	A	5
1304	5	1	B1	B1	5
1307	5	1	B1	B1	5
1308	5	1	B1	B1	5
1310	5	1	B1	B1	5
1312	5	1	A	A	5
1314	1	1	A	A	1
1316	5	1	A	A	5
1317	1	1	B2	B2	1
1319	1	1	F	F	1
1323	1	1	D	D	1
1324	5	2	A	A;B1	3;2
1325	1	1	B1	B1	1
1326	5	1	B1	B1	5
1328	1	1	A	A	1
1333	1	1	B2	B2	1
1340	1	1	F	F	1
1380	5	1	D	D	5
1385	5	1	B2	B2	5
1386	1	1	B2	B2	1
1389	1	1	B1	B1	1
1394	5	1	D	D	5
1395	5	1	B1	B1	5
1396	1	1	B1	B1	1
1397	1	1	A	A	1
1402	1	1	A	A	1
1403	5	1	B1	B1	5
1406	1	1	D	D	1
1408	5	1	A	A	5
1415	5	1	A	A	5
1421	5	1	A	A	5
1423	5	1	B1	B1	5
1426	1	1	C	C	1
1429	5	1	A	A	5
1431	5	1	B1	B1	5
1432	5	1	B1	B1	5
1433	1	1	A	A	1
1434	5	1	A	A	5
1441	1	1	B2	B2	1
1442	1	1	B2	B2	1
1444	5	1	B2	B2	5
1459	1	1	B2	B2	1
1462	1	1	D	D	1
1463	5	1	B1	B1	5
1480	1	1	C	C	1
1483	5	1	B1	B1	5
1485	5	1	F	F	5
1486	5	1	A	A	5
1488	1	1	A	A	1
1490	5	1	B1	B1	5
1491	5	1	A	A	5
1494	5	2	B1	B1;A	3;2
1495	1	1	A	A	1
1497	5	2	Unknown	Unknown;A	3;2
1500	1	1	A	A	1
1502	5	1	Unknown	Unknown	5
1503	5	1	Unknown	Unknown	5
1504	1	1	Unknown	Unknown	1
1508	5	1	E	E	5
1510	5	1	A	A	5
1511	1	1	B1	B1	1
1512	5	1	A	A	5
1513	1	1	A	A	1
1518	1	1	A	A	1
1531	1	1	B2	B2	1
1551	1	1	E	E	1
1564	5	1	A	A	5
1567	5	1	D	D	5
1571	1	1	B1	B1	1
1580	1	1	D	D	1
1582	5	1	B1	B1	5
1583	1	1	B2	B2	1
1584	1	1	A	A	1
1585	5	1	A	A	5
1587	1	1	E	E	1
1588	5	2	D	D;F	4;1
1589	5	1	B1	B1	5
1590	1	1	D	D	1
1592	1	1	B1	B1	1
1594	5	1	A	A	5
1595	1	1	E	E	1
1597	1	1	B2	B2	1
1598	5	1	A	A	5
1601	1	1	albertii	albertii	1
1602	5	1	A	A	5
1604	1	1	B2	B2	1
1607	5	1	E	E	5
1610	5	1	B1	B1	5
1611	5	1	B1	B1	5
1613	5	1	B1	B1	5
1614	1	1	A	A	1
1615	5	1	C	C	5
1618	5	1	B2	B2	5
1619	1	1	B2	B2	1
1621	1	1	E	E	1
1623	5	1	B1	B1	5
1629	5	1	E	E	5
1630	1	1	A	A	1
1632	1	1	A	A	1
1638	5	1	A	A	5
1640	5	1	E	E	5
1641	1	1	B2	B2	1
1642	5	1	B1	B1	5
1643	1	1	B2	B2	1
1652	1	1	D	D	1
1655	1	1	B2	B2	1
1656	5	1	B1	B1	5
1662	5	1	B1	B1	5
1663	1	1	B2	B2	1
1664	5	1	B1	B1	5
1665	5	1	B1	B1	5
1670	5	1	D	D	5
1673	5	1	B1	B1	5
1674	5	1	F	F	5
1677	1	1	B2	B2	1
1679	2	1	B1	B1	2
1684	5	1	A	A	5
1686	1	1	B1	B1	1
1688	1	1	A	A	1
1695	5	1	A	A	5
1702	5	1	A	A	5
1703	1	1	A	A	1
1704	5	1	B1	B1	5
1705	5	1	B1	B1	5
1706	5	1	B1	B1	5
1709	1	1	E	E	1
1711	1	1	A	A	1
1715	1	1	B1	B1	1
1716	5	1	A	A	5
1718	5	1	A	A	5
1720	1	1	B1	B1	1
1721	5	1	A	A	5
1722	5	1	F	F	5
1723	5	1	B1	B1	5
1724	5	1	B1	B1	5
1725	1	1	B1	B1	1
1726	1	1	B1	B1	1
1727	5	1	B1	B1	5
1730	5	1	B1	B1	5
1732	1	1	B1	B1	1
1735	5	1	B2	B2	5
1737	1	1	B1	B1	1
1739	5	1	A	A	5
1741	1	1	Unknown	Unknown	1
1742	1	1	A	A	1
1743	1	1	A	A	1
1747	1	1	A	A	1
1749	5	1	A	A	5
1750	5	1	Unknown	Unknown	5
1751	5	1	A	A	5
1752	1	1	A	A	1
1753	5	1	Unknown	Unknown	5
1756	1	1	Unknown	Unknown	1
1759	5	1	A	A	5
1760	1	1	A	A	1
1761	1	1	A	A	1
1765	5	1	A	A	5
1766	1	1	A	A	1
1767	1	1	D	D	1
1769	1	1	A	A	1
1770	1	1	A	A	1
1771	5	1	A	A	5
1775	1	1	E	E	1
1777	1	1	B1	B1	1
1778	1	1	A	A	1
1783	1	1	C	C	1
1785	1	1	A	A	1
1786	5	1	B1	B1	5
1788	1	1	A	A	1
1790	1	1	B1	B1	1
1792	100	1	B1	B1	100
1793	1	1	E	E	1
1794	5	1	B1	B1	5
1797	1	1	A	A	1
1798	1	1	B1	B1	1
1800	5	1	B1	B1	5
1804	5	1	E	E	5
1807	1	1	C	C	1
1809	1	1	C	C	1
1810	1	1	Unknown	Unknown	1
1817	5	1	B1	B1	5
1818	5	1	A	A	5
1819	5	1	Unknown	Unknown	5
1823	1	1	A	A	1
1825	5	1	E	E	5
1828	5	1	B2	B2	5
1829	1	1	E	E	1
1830	1	1	A	A	1
1833	5	1	E	E	5
1836	1	1	D	D	1
1839	1	1	albertii	albertii	1
1841	5	1	B1	B1	5
1842	1	1	E	E	1
1843	1	1	E	E	1
1844	5	1	B1	B1	5
1850	5	1	A	A	5
1851	5	1	B2	B2	5
1852	1	1	B2	B2	1
1858	1	1	B2	B2	1
1859	5	1	B2	B2	5
1864	1	1	B2	B2	1
1865	1	1	B2	B2	1
1868	1	1	B2	B2	1
1869	1	1	B1	B1	1
1870	1	1	D	D	1
1873	1	1	B2	B2	1
1876	1	1	B2	B2	1
1877	5	1	B2	B2	5
1882	1	1	D	D	1
1884	1	1	D	D	1
1888	1	1	B1	B1	1
1889	5	1	A	A	5
1890	1	1	B1	B1	1
1891	1	1	B1	B1	1
1892	5	1	E	E	5
1905	1	1	B2	B2	1
1907	5	1	B2	B2	5
1914	5	1	D	D	5
1919	1	1	B2	B2	1
1944	1	1	E	E	1
1946	5	1	B2	B2	5
1951	1	1	B2	B2	1
1952	1	1	E	E	1
1954	1	1	A	A	1
1955	1	1	D	D	1
1967	103	1	B1	B1	103
1968	1	1	A	A	1
1972	5	1	A	A	5
1973	5	1	A	A	5
1979	1	1	B2	B2	1
1982	1	1	B2	B2	1
1988	1	1	B1	B1	1
1992	5	1	B1	B1	5
1993	1	1	B2	B2	1
1994	1	1	B2	B2	1
2001	5	1	D	D	5
2002	1	1	D	D	1
2003	5	1	D	D	5
2005	5	1	B1	B1	5
2006	5	1	B1	B1	5
2008	5	1	B1	B1	5
2011	1	1	F	F	1
2013	1	1	B2	B2	1
2014	5	2	A	A;B1	4;1
2015	5	1	B2	B2	5
2016	5	1	B1	B1	5
2017	1	1	B2	B2	1
2020	5	1	D	D	5
2025	5	1	B1	B1	5
2026	1	1	B1	B1	1
2035	5	1	A	A	5
2040	5	1	A	A	5
2041	1	1	A	A	1
2042	1	1	B2	B2	1
2063	1	1	A	A	1
2064	5	2	E	E;D	4;1
2067	5	1	B1	B1	5
2068	1	1	B2	B2	1
2070	1	1	F	F	1
2073	5	1	B1	B1	5
2074	5	1	E	E	5
2076	5	1	D	D	5
2077	5	1	B1	B1	5
2079	5	1	B1	B1	5
2083	5	1	B1	B1	5
2085	1	1	F	F	1
2086	5	1	B2	B2	5
2088	1	1	B2	B2	1
2089	5	1	A	A	5
2101	5	1	A	A	5
2103	1	1	B1	B1	1
2111	5	1	B1	B1	5
2141	5	1	F	F	5
2142	1	1	D	D	1
2144	5	1	B1	B1	5
2160	1	1	B1	B1	1
2161	5	1	B1	B1	5
2163	5	1	B1	B1	5
2164	1	1	B1	B1	1
2165	5	1	B1	B1	5
2166	1	1	B1	B1	1
2169	1	1	B1	B1	1
