Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
ESC_AA8584AA_AS	KL115	unknown (KL115)	Good	?	98.80%	98.62%	n/a	20 / 20 (100%)	KL115_01_galF,98.662%;KL115_02_cpsACP,98.571%;KL115_03_wzi,99.163%;KL115_04_wza,99.208%;KL115_05_wzb,100.0%;KL115_06_wzc,99.168%;KL115_07_wbaP,99.58%;KL115_08_wcuF,98.898%;KL115_09_wcmY,100.0%;KL115_10_wzy,98.81%;KL115_11_wcqJ,100.0%;KL115_12_wctX,99.609%;KL115_13_wcuC,99.401%;KL115_14_wzx,99.274%;KL115_15_gnd,99.36%;KL115_16_rmlB,99.155%;KL115_17_rmlA,100.0%;KL115_18_rmlD,98.653%;KL115_19_rmlC,99.459%;KL115_20_ugd,99.486%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AA9102AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.639%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		1	KL131_09_rmlB,80.226%
ESC_AA9624AA_AS	KL57	K57	Good	?-	99.51%	96.42%	n/a	17 / 18 (94.4%)	KL57_01_galF,98.662%;KL57_03_wzi,96.042%;KL57_04_wza,97.619%;KL57_05_wzb,100.0%;KL57_06_wzc,96.671%;KL57_07_wcaJ,96.436%;KL57_08_wzx,97.951%;KL57_09_wckX,100.0%;KL57_10_wckW,99.452%;KL57_11_wzy,98.473%;KL57_12,100.0%;KL57_13_vanT,98.471%;KL57_14_wbaZ,99.479%;KL57_15_gnd,99.36%;KL57_16_manC,96.186%;KL57_17_manB,98.031%;KL57_18_ugd,99.486%	KL57_02_cpsACP	0		0 / 18 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AB1619AA_AS	KL20	K20	Good	-	94.56%	98.28%	-1301 bp	17 / 18 (94.4%)	KL20_01_galF,99.331%;KL20_03_wzi,99.408%;KL20_04_wza,99.211%;KL20_05_wzb,100.0%;KL20_06_wzc,98.757%;KL20_07_wbaP,99.581%;KL20_08_wzy,99.757%;KL20_09,99.422%;KL20_10_wcaN,99.306%;KL20_11_wcaO,98.413%;KL20_12,99.76%;KL20_13_wbaZ,99.407%;KL20_14_wzx,99.286%;KL20_15_gnd,99.574%;KL20_16_manC,98.941%;KL20_17_manB,99.344%;KL20_18_ugd,99.229%	KL20_02_cpsACP	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC1490AA_AS	KL103	unknown (KL103)	Very high		100.00%	98.73%	+1 bp	21 / 21 (100%)	KL103_01_galF,99.331%;KL103_02_cpsACP,98.095%;KL103_03_wzi,98.954%;KL103_04_wza,99.737%;KL103_05_wzb,100.0%;KL103_06_wzc,99.722%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,100.0%;KL103_10,99.788%;KL103_11_wcaN,100.0%;KL103_12_wzy,100.0%;KL103_13_wcpL,99.2%;KL103_14_wcuT,98.917%;KL103_15_wzx,100.0%;KL103_16_gnd,99.36%;KL103_17_rmlB,100.0%;KL103_18_rmlA,99.655%;KL103_19_rmlD,99.663%;KL103_20_rmlC,100.0%;KL103_21_ugd,100.0%		0		0 / 21 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_AC1589AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC2968AA_AS	KL48	K48	None	?-	86.06%	98.71%	n/a	16 / 21 (76.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_09_wclL;KL48_10_wzy;KL48_11_wcqD;KL48_12_wckU;KL48_13	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC2970AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC2972AA_AS	KL107	unknown (KL107)	None	?-+*	77.89%	87.08%	n/a	10 / 16 (62.5%)	KL107_01_galF,98.997%;KL107_02_cpsACP,92.857%;KL107_03_wzi,96.234%;KL107_04_wza,92.8%;KL107_11_gnd,99.36%;KL107_12,98.873%;KL107_13,97.931%;KL107_14,99.327%;KL107_15,99.459%;KL107_16_ugd,99.743%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	2	KL48_07_wcaA,99.67%;KL48_05_wzb,100.0%	0 / 16 (0%)		4	KL48_08_wcaJ,99.764%;KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_AC2973AA_AS	KL48	K48	None	?-	87.68%	98.72%	n/a	17 / 21 (81.0%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_14_wzx,99.774%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_06_wzc;KL48_11_wcqD;KL48_12_wckU;KL48_13	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
