#FILE	NUM_FOUND	NlpI_gi_218560235	afaC/draC/daaC_VFG045796	ag43-MS7163	ag43a_CFT073	cirA_AE016763_105	cjrC_UTI89_RS25305	csgE_gi_15801156	ecpC_gi_15799996	eitB_APECO1_RS26190	entS_gi_26246570	fecA_b4291	fepA_gi_26246561	fhuA_b0150	fhuE_b1102	fimD_gi_15804892	fiu_c0890	fliC(H4)_AJ536600.1	fyuA_gi_26248288	hbp/tsh_gi_3288154	hlyA_gi_386641997	hlyF_APECO1_O1CoBM189	hra1_AAC13751	ibeB_gi_4835717	iha_gi_78057505	ireA_gi_26250982	iroN_gi_26247124	iss_SPG000143	iutA_gi_26249458	nhaA_GeneID:944758	ompA_gi_7188818	ompT_SPG000077	papC_gi_26249425	papGII_AAN82031	pixC_gi_30524679	sisA_AE016766_93	sitA_gi_386618823	traJ_gi_150860	traT_SPG000097	uclC_ABE10308	upaC/ehaB_VFG045825	upaG/ehaG_beta	upaI_ECP_2276	yadV_b0140	yehC_b2110	yfcV_b2339	yqiH_c3793	znuB_AAC74929
ESC_AA8584AA_AS_abricate.tsv	25	100.00	.	98.48	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AA9102AA_AS_abricate.tsv	22	100.00	.	.	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	100.00	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AA9624AA_AS_abricate.tsv	26	100.00	100.00	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	.	99.93	.	.	.	99.68	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AB1619AA_AS_abricate.tsv	27	100.00	.	100.00	.	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	100.00	.	99.93	.	.	100.00	99.68;100.00	99.96	100.00	100.00	.	.	.	.	100.00	100.00	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC1490AA_AS_abricate.tsv	21	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	99.93	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.76	100.00	100.00	84.40	.	100.00
ESC_AC1589AA_AS_abricate.tsv	22	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2968AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2970AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2972AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2973AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2974AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2975AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
ESC_AC2976AA_AS_abricate.tsv	23	100.00	.	100.00	.	99.30	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	100.00	.	100.00	.	.	.	99.62	99.93	.	.	.	99.68	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.76	100.00	100.00	100.00	.	100.00
