barcode	ST
ESC_KB1873AA_AS	100
ESC_OA6433AA_AS	1025
ESC_EB8210AA_AS	1025
ESC_FA7862AA_AS	1060
ESC_KA9770AA_AS	1060
ESC_KB3911AA_AS	1079
ESC_MB2604AA_AS	1193
ESC_GA5399AA_AS	1193
ESC_AA8817AA_AS	12
ESC_GA0310AA_AS	127
ESC_CA2017AA_AS	127
ESC_JB8198AA_AS	127
ESC_LB4016AA_AS	131
ESC_WA7702AA_AS	154
ESC_QA3793AA_AS	154
ESC_MA7519AA_AS	155
ESC_HA2750AA_AS	156
ESC_MB1920AA_AS	156
ESC_GB7097AA_AS	167
ESC_KB4185AA_AS	167
ESC_NA8828AA_AS	182
ESC_CB4090AA_AS	189
ESC_GB5922AA_AS	223
ESC_LB0800AA_AS	224
ESC_OA0197AA_AS	226
ESC_NB3786AA_AS	226
ESC_RB2238AA_AS	23
ESC_EB8739AA_AS	245
ESC_MB5905AA_AS	245
ESC_EB9034AA_AS	245
ESC_LA1464AA_AS	29
ESC_GA0751AA_AS	297
ESC_LB8140AA_AS	297
ESC_ZA9481AA_AS	297
ESC_HB0118AA_AS	300
ESC_NA8294AA_AS	306
ESC_KA9301AA_AS	32
ESC_FB1207AA_AS	32
ESC_GB0961AA_AS	354
ESC_NB5323AA_AS	354
ESC_IA4480AA_AS	354
ESC_IA1941AA_AS	354
ESC_BA5190AA_AS	362
ESC_GB5981AA_AS	38
ESC_XA1164AA_AS	38
ESC_LB6760AA_AS	38
ESC_HA2059AA_AS	393
ESC_CA0670AA_AS	393
ESC_GB9708AA_AS	399
ESC_ZA6350AA_AS	40
ESC_QA2865AA_AS	40
ESC_UA2331AA_AS	410
ESC_XA7292AA_AS	43
ESC_VA4686AA_AS	443
ESC_JA4812AA_AS	443
ESC_VA2015AA_AS	457
ESC_SA0179AA_AS	457
ESC_GB2974AA_AS	48
ESC_HA1896AA_AS	542
ESC_IA2231AA_AS	57
ESC_UA7997AA_AS	583
