Assembly_barcode	year_range	year_range_colour	Disease	Disease_color	Isolate source	isolate_source_colour	Capsule_color	Best match locus	Continent	continent_color
ESC_AA2067AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2069AA_AS	1990-1999	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_AA2070AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Africa	#b2df8a
ESC_AA2071AA_AS	2000-2004	#b2df8a	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_AA2072AA_AS	1990-1999	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_AA2073AA_AS	2005-2009	#abd9e9	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_AA2074AA_AS	2000-2004	#b2df8a	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2075AA_AS	2000-2004	#b2df8a	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_AA2076AA_AS	2005-2009	#abd9e9	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_AA2077AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2078AA_AS	2005-2009	#abd9e9	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_AA2079AA_AS	2005-2009	#abd9e9	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2080AA_AS	1990-1999	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_AA2081AA_AS	2005-2009	#abd9e9	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2082AA_AS	1990-1999	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_AA2083AA_AS	2000-2004	#b2df8a	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	South America	#fb9a99
ESC_AA2084AA_AS	NA	white	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2085AA_AS	2010-2014	#1f78b4	blood	red	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2086AA_AS	2005-2009	#abd9e9	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2087AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2088AA_AS	2000-2004	#b2df8a	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2089AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2090AA_AS	2010-2014	#1f78b4	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_AA2091AA_AS	2000-2004	#b2df8a	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_CA3854AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	NA	NA
ESC_TB5803AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	NA	NA
ESC_AA9624AA_AS	NA	white	other	#afafaf			#E31A1C	KL57	NA	NA
ESC_BA2349AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_CA6621AA_AS	2005-2009	#abd9e9	blood	red	Human	#fdc086	#CAB2D6	KL123	North America	#33a02c
ESC_CA4072AA_AS	NA	white	other	#afafaf			#fd088e	KL54	NA	NA
ESC_BA5078AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_CA1214AA_AS	NA	white	other	#afafaf			#FF7F00	KL35	NA	NA
ESC_AA8584AA_AS	NA	white	other	#afafaf			#005A9C	KL115	NA	NA
ESC_AA8584AA_AS	NA	white	other	#afafaf			#005A9C	KL115	NA	NA
ESC_CA1597AA_AS	NA	white	blood	red	Human	#fdc086	#FF7F00	KL35	Europe	#a6cee3
ESC_BA1564AA_AS	NA	white	blood	red	Human	#fdc086	#3dfc7d	KL30	Europe	#a6cee3
ESC_BA1845AA_AS	NA	white	blood	red	Human	#fdc086	#CAB2D6	KL123	Europe	#a6cee3
ESC_AA9102AA_AS	NA	white	blood	red	Human	#fdc086	#3dfc7d	KL30	Europe	#a6cee3
ESC_AA9102AA_AS	NA	white	blood	red	Human	#fdc086	#3dfc7d	KL30	Europe	#a6cee3
ESC_AA8555AA_AS	NA	white	blood	red	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_CA3988AA_AS	NA	white	other	#afafaf	Human	#fdc086	#fd088e	KL54	Africa	#b2df8a
ESC_CA5740AA_AS	NA	white	other	#afafaf	Human	#fdc086	#ffe119	KL5	NA	NA
ESC_BA4333AA_AS	NA	white	other	#afafaf	Human	#fdc086	#FDBF6F	KL47	NA	NA
ESC_FA9662AA_AS	NA	white	other	#afafaf			black	KL124	NA	NA
ESC_FA9692AA_AS	NA	white	other	#afafaf			#afafaf	KL31	NA	NA
ESC_GA0061AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_GA0305AA_AS	NA	white	other	#afafaf			#d5d36e	KL9	NA	NA
ESC_GA5759AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_GA5758AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_GA5757AA_AS	2015-2019	#fdae61	other	#afafaf			#6A3D9A	KL20	Europe	#a6cee3
ESC_GA5756AA_AS	2015-2019	#fdae61	other	#afafaf			#6A3D9A	KL20	Europe	#a6cee3
ESC_GA5755AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	Europe	#a6cee3
ESC_GA6911AA_AS	2000-2004	#b2df8a	other	#afafaf	Animal	#7fc97f	#FB9A99	KL55	North America	#33a02c
ESC_GA8888AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_LB2516AA_AS	2015-2019	#fdae61	blood	red	Human	#fdc086	#afafaf	KL16	North America	#33a02c
ESC_HA7187AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#fd088e	KL54	Europe	#a6cee3
ESC_HA7184AA_AS	2005-2009	#abd9e9	other	#afafaf	Animal	#7fc97f	#FB9A99	KL55	Europe	#a6cee3
ESC_HA6306AA_AS	NA	white	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_VA2268AA_AS	NA	white	other	#afafaf			#29c722	KL127	NA	NA
ESC_VA2263AA_AS	NA	white	other	#afafaf			#29c722	KL127	NA	NA
ESC_HA5571AA_AS	2000-2004	#b2df8a	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HA5534AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_HA5210AA_AS	NA	white	other	#afafaf			#afafaf	KL16	NA	NA
ESC_HA5191AA_AS	NA	white	other	#afafaf			#d66384	KL101	NA	NA
ESC_HA5187AA_AS	NA	white	other	#afafaf			#35978f	KL48	NA	NA
ESC_HA4131AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_HA3790AA_AS	NA	white	other	#afafaf			#29c722	KL127	NA	NA
ESC_HA3782AA_AS	NA	white	other	#afafaf			#29c722	KL127	NA	NA
ESC_HA3719AA_AS	NA	white	other	#afafaf			#afafaf	KL16	NA	NA
ESC_HA2215AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_HA1966AA_AS	2010-2014	#1f78b4	blood	red	Human	#fdc086	#FDBF6F	KL47	Asia	#1f78b4
ESC_HA1964AA_AS	2010-2014	#1f78b4	blood	red	Human	#fdc086	#FDBF6F	KL47	Asia	#1f78b4
ESC_HA1888AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_HA3081AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL125	Asia	#1f78b4
ESC_HA7064AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#fd088e	KL54	North America	#33a02c
ESC_VA2364AA_AS	NA	white	other	#afafaf			#4695f0	KL103	NA	NA
ESC_VA2362AA_AS	NA	white	other	#afafaf			#afafaf	KL125	NA	NA
ESC_VA2359AA_AS	NA	white	other	#afafaf			#afafaf	KL125	NA	NA
ESC_VA2366AA_AS	NA	white	other	#afafaf			#afafaf	KL125	NA	NA
ESC_IA0226AA_AS	NA	white	other	#afafaf			#FF7F00	KL35	NA	NA
ESC_IA0211AA_AS	NA	white	other	#afafaf			#afafaf	KL125	NA	NA
ESC_HA9720AA_AS	2010-2014	#1f78b4	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
