#FILE	NUM_FOUND	NlpI_gi_218560235	afaC/draC/daaC_VFG045796	ag43-MS7163	ag43a_CFT073	aufC_ECS88_3823	cdtB_gi_117623644	chuA_gi_26250130	cirA_AE016763_105	cjrC_UTI89_RS25305	clbB_gi_112292718	cnf1_gi_403299	csgE_gi_15801156	ecpC_gi_15799996	eibC_gi_7523529	eibE_gi_7523541	eibG_gi_299150344	eitB_APECO1_RS26190	entS_gi_26246570	fecA_b4291	fepA_gi_26246561	fhuA_b0150	fhuE_b1102	fimD_gi_15804892	fiu_c0890	fliC(H1)_L07387.1	fliC(H4)_AJ536600.1	fliC(H7)_AF228487.1	focH_gi_386638502	fyuA_gi_26248288	hbp/tsh_gi_3288154	hlyA_gi_386641997	hlyF_APECO1_O1CoBM189	hma_gi_26248334	hra1_AAC13751	ibeA_gi_18152905	ibeB_gi_4835717	iha_gi_78057505	ireA_gi_26250982	iroN_gi_26247124	iss_SPG000143	iutA_gi_26249458	kpsD_gi_409035	nhaA_GeneID:944758	ompA_gi_7188818	ompT_SPG000077	papC_gi_26249425	papGIII_ABE1029	papGII_AAN82031	papGI_ELL40467	pic_gi_387610008	pixC_gi_30524679	sat_gi_26249454	sfaH_gi_91210144	sisA_AE016766_93	sitA_gi_386618823	tcpC_gi_26248250	tosA_c0363	traJ_gi_150860	traT_SPG000097	uclC_ABE10308	upaB_ECP_0379	upaC/ehaB_VFG045825	upaE_c2895	upaG/ehaG_beta	upaI_ECP_2276	usp_gi_386617620	vat_gi_386605757	yadV_b0140	ydeT_AE016760_251	yehC_b2110	yfcV_b2339	yqiH_c3793	znuB_AAC74929
ESC_AA7910AA_AS_abricate.tsv	21	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.96	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA7955AA_AS_abricate.tsv	33	100.00	.	.	.	.	100.00	100.00	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	99.38	100.00	100.00	100.00	.	100.00	.	.	100.00	.	.	.	.	.	99.93	100.00	.	.	.	99.68	.	100.00	100.00	100.00	100.00;99.48	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	99.74	100.00	99.39	100.00	100.00	99.89	100.00	.	100.00	100.00	.	100.00	100.00
ESC_AA8001AA_AS_abricate.tsv	23	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	100.00	100.00	95.49	100.00	.	.	.	.	.	.	.	.	.	.	.	99.93	100.00	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	99.28	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA8008AA_AS_abricate.tsv	26	100.00	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	99.62	.	100.00	.	.	.	99.68	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	99.83	.	.	100.00	96.62	.	100.00	99.31	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8079AA_AS_abricate.tsv	34	100.00	.	100.00	100.00;81.44	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	.	.	100.00	100.00	.	100.00	.	95.47	.	100.00	.	.	100.00	100.00;99.68;97.41	99.96	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00;99.73;100.00	.	.	98.80	.	100.00	99.76	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA8100AA_AS_abricate.tsv	45	100.00	.	100.00	100.00;100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	100.00	99.78	100.00	100.00	100.00	.	.	.	96.08	100.00	.	100.00	.	100.00	94.84	.	100.00	100.00	.	100.00	99.68	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	.	.	.	.	.	100.00	100.00	.	.	.	.	100.00	99.96	.	.	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	100.00	100.00
ESC_AA8112AA_AS_abricate.tsv	43	100.00	.	.	100.00	100.00	.	100.00	100.00	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	99.78	100.00	100.00	100.00	.	.	.	96.08	100.00	.	100.00	.	100.00	94.84	.	100.00	.	.	100.00	88.35;91.91	.	100.00	100.00	100.00	.	100.00	100.00	.	.	.	99.77	.	.	100.00	100.00	100.00	.	.	.	100.00	.	.	.	100.00	100.00	99.89	100.00	100.00	100.00	100.00	.	99.87	100.00
ESC_AA8140AA_AS_abricate.tsv	24	100.00	.	100.00	100.00	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	99.95	.	100.00	.	.	.	.	.	.	.	.	.	95.47	.	99.93	.	.	.	.	.	.	100.00	100.00	.	100.00	.	100.00	.	.	99.77	.	.	98.95	.	.	.	.	.	.	.	.	.	.	99.76	.	.	100.00	.	100.00	100.00	.	100.00
ESC_AA8171AA_AS_abricate.tsv	21	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.68	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.31	.	.	100.00	100.00	100.00	100.00	.	100.00
ESC_AA8206AA_AS_abricate.tsv	23	100.00	.	.	.	.	.	.	99.40	.	.	.	100.00	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	97.41	.	.	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	83.20	.	.	.	.	100.00	99.28	.	.	100.00	95.81	100.00	100.00	.	100.00
