#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	Food origin	Min-same	Min-diff	BioSample	Assembly	Computed types	SNP cluster	AMR genotypes	AMR genotypes core	IFSAC category	Source type	Host	K-mer group	Scientific name	AST phenotypes	Virulence genotypes	Stress genotypes	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Collected by	Collection date	Lat/Lon	N50	Length	Contigs	Library layout	Platform	Run	SRA Center	SRA release date	Species TaxID	Outbreak	Host disease	Level	Method	PFGE primary enzyme pattern	PFGE secondary enzyme pattern	TaxID	WGS prefix	WGS accession
E.coli and Shigella	PNUSAE051904	"PNUSAE051904","SRS6538193"		PDT000726994.1	2020-04-26T21:13:23Z	USA		clinical		5	12	SAMN14733081	GCA_012925025.1		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		human		PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.12.8	2024-07-22.1	COMBINED	PRJNA218110	CDC	2020-04		119520	4802562	118	PAIRED	ILLUMINA	SRR11612235	PULSENET	2020-04-26T20:36:41Z	562			Contig	SKESA v. 2.2			562	AATNHT	AATNHT000000000.1
E.coli and Shigella		"ERS2970216","e17bf26c-db82-11e8-a41f-3c4a9275d6c8"		PDT000746797.1	2020-05-26T18:33:17Z							SAMEA5162491			PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE				PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.11.26	2023-08-08.2	NUCLEOTIDE	PRJEB29424				131356	4861447	107	PAIRED	ILLUMINA	ERR4046485	WELLCOME SANGER INSTITUTE	2020-04-25T03:21:28Z	562							562		
E.coli and Shigella		"2020LN-00022","SRS7120274","whole organism"		PDT000799987.1	2020-07-31T16:14:37Z	USA	urine	clinical		7	20	SAMN15688128	GCA_014047995.1		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.11.26	2023-08-08.2	COMBINED	PRJNA288601		2020		131347	4823939	104	PAIRED	ILLUMINA	SRR12358935	ARIZONA STATE PUBLIC HEALTH LABORATORY	2020-07-31T15:04:32Z	562			Contig	SKESA v. 2.2			562	AAVFOA	AAVFOA000000000.1
E.coli and Shigella		"2020LN-00015","SRS7211534"		PDT000814178.3	2024-02-21T03:16:51Z	USA	urine	clinical		6	17	SAMN15832302	GCA_014234965.3		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.12.8	2024-01-31.1	COMBINED	PRJNA288601		2020		136804	4881635	104	PAIRED	ILLUMINA	SRR12462369	ARIZONA DEPARTMENT OF HEALTH SERVICES	2020-08-17T15:58:32Z	562			Contig	SKESA v. 2.2			562	AAVLKB	AAVLKB000000000.3
E.coli and Shigella		"2020LN-00013","SRS7211531"		PDT000814181.3	2024-02-21T17:04:59Z	USA	blood	clinical		7	21	SAMN15832300	GCA_014234145.3		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.12.8	2024-01-31.1	COMBINED	PRJNA288601		2019		147840	4879781	107	PAIRED	ILLUMINA	SRR12462373	ARIZONA DEPARTMENT OF HEALTH SERVICES	2020-08-17T15:58:32Z	562			Contig	SKESA v. 2.2			562	AAVLKC	AAVLKC000000000.3
E.coli and Shigella		"2020CK-00182","SRS7260915"		PDT000821559.3	2024-02-19T09:16:01Z	USA	urine	clinical		11	21	SAMN15907117	GCA_014318035.3		PDS000063179.375	aadA2=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,dfrA12=COMPLETE,dfrA17=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,sul2=COMPLETE,tet(A)=COMPLETE	aadA2=COMPLETE,aadA5=COMPLETE,blaNDM-5=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,dfrA12=COMPLETE,dfrA17=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,sul2=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,merC=COMPLETE,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE	3.12.8	2024-01-31.1	COMBINED	PRJNA288601		2020-05-07		125731	5021390	137	PAIRED	ILLUMINA	SRR12519146	UPHL_ID	2020-08-26T15:31:35Z	562			Contig	SKESA v. 2.2			562	AAVPJL	AAVPJL000000000.3
E.coli and Shigella	2020GO-00009	"2020GO-00009","SRS7590661"		PDT000868607.1	2020-10-27T03:24:59Z	USA		clinical		0	28	SAMN16552493	GCA_016154075.1		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,cmlA1=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,dfrA14=COMPLETE,erm=HMM,floR=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,cmlA1=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,dfrA14=COMPLETE,erm=HMM,floR=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=PARTIAL_END_OF_CONTIG,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE,qacL=COMPLETE	3.11.26	2023-08-08.2	COMBINED	PRJNA288601	MDH Labs Administration	2020		79304	4908175	160	PAIRED	ILLUMINA	SRR12903819	MARYLAND DEPARTMENT OF HEALTH	2020-10-27T02:33:53Z	562		hopsital aqcuired infection	Contig	SKESA v. 2.2			562	AAXYFV	AAXYFV000000000.1
E.coli and Shigella	2020GO-00071	"2020GO-00071","SRS7590651"		PDT000868615.3	2024-02-18T03:58:05Z	USA		clinical		5	23	SAMN16552555	GCA_015000485.3		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaEC=MISTRANSLATION,blaEC=PARTIAL_END_OF_CONTIG,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,ompC_Q82STOP=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,ompC_Q82STOP=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.12.8	2024-01-31.1	COMBINED	PRJNA288601	MDH Labs Administration	2020		111984	4834885	127	PAIRED	ILLUMINA	SRR12903829	MARYLAND DEPARTMENT OF HEALTH	2020-10-27T02:33:53Z	562		hopsital aqcuired infection	Contig	SKESA v. 2.2			562	AAWREL	AAWREL000000000.3
E.coli and Shigella	2020GO-00068	"2020GO-00068","SRS7590647"		PDT000868619.3	2024-02-17T11:12:01Z	USA		clinical		5	20	SAMN16552552	GCA_015000765.3		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.12.8	2024-01-31.1	COMBINED	PRJNA288601	MDH Labs Administration	2020		114522	4865794	124	PAIRED	ILLUMINA	SRR12903833	MARYLAND DEPARTMENT OF HEALTH	2020-10-27T02:33:53Z	562		hopsital aqcuired infection	Contig	SKESA v. 2.2			562	AAWREI	AAWREI000000000.3
E.coli and Shigella		"2020CK-00423","SRS7601326"		PDT000869964.1	2020-10-28T05:25:47Z	USA	stool	clinical		11	17	SAMN16574776	GCA_015027995.1		PDS000063179.375	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,dfrA17=COMPLETE,erm(B)=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,qnrS1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,aadA5=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,dfrA12=COMPLETE,dfrA17=COMPLETE,erm(B)=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_S458A=POINT,qnrS1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE			Homo sapiens	PDG000000004.4936	Escherichia coli		capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE	3.11.26	2023-08-08.2	COMBINED	PRJNA288601		2020-10-04		125731	4946911	141	PAIRED	ILLUMINA	SRR12916664	UPHL_ID	2020-10-28T04:35:40Z	562			Contig	SKESA v. 2.2			562	AAWSCP	AAWSCP000000000.1
